report_date,incident number,incident name,start date,incident type,county,latitude,longitude,area,area measurement
3/24/2017,529_40113,Nw Oklahoma Complex,3/7/2017,CX,40113,36.4311111,-96.1786111,779292.0,ACRES
3/24/2017,527_40017,Oks - Starbuck,3/7/2017,WF,40017,33.1775,-108.1238889,662700.0,ACRES
3/24/2017,247_20057,Grassfires 30617,3/6/2017,WF,20057,37.75569,-99.96826,400000.0,ACRES
3/29/2017,1012_48027,Perryton,3/6/2017,WF,48027,33.8925,-105.33861110000001,318156.0,ACRES
12/31/2017,3583_6111,Thomas,12/4/2017,WF,6111,34.43097,-119.0899,281893.0,ACRES
7/31/2017,252_30001,Lodgepole Complex,7/20/2017,CX,30001,41.1741667,-106.26111110000001,270743.0,ACRES
8/8/2017,10193_32093,Roosters Comb,7/9/2017,WF,32093,41.5655556,-123.6472222,204947.0,ACRES
11/2/2017,326_41015,Chetco Bar,7/12/2017,WF,41015,42.2966667,-123.9536111,191125.0,ACRES
10/17/2017,1464_30049,Rice Ridge,7/24/2017,WF,30049,41.828888899999995,-120.8241667,160187.0,ACRES
7/25/2017,10226_32057,Four Seasons Complex,7/16/2017,CX,32057,43.6905556,-89.8694444,159986.0,ACRES
7/10/2017,17006_13003,West Mims,4/7/2017,WF,13003,30.574440000000003,-82.32333,152294.0,ACRES
3/8/2017,1013_48025,Lefors East,3/7/2017,WF,48025,33.6633333,-88.6202778,135000.0,ACRES
10/5/2017,267_53077,Diamond Creek,7/23/2017,WF,53077,39.0783333,-108.93444440000002,128272.0,ACRES
10/30/2017,10049_6097,Nuns,10/8/2017,WF,6097,38.4330556,-122.70277779999999,110720.0,ACRES
10/31/2017,10104_6127,Central Lnu Complex,10/9/2017,WF,6127,28.796388899999997,-80.81138890000001,110720.0,ACRES
3/25/2017,528_40077,Oks - 283,3/6/2017,WF,40077,34.9276667,-95.0551667,100000.0,ACRES
8/5/2017,543_30015,Sartin Draw,8/30/2017,WF,30015,41.853055600000005,-123.6758333,99714.0,ACRES
7/9/2017,30314_32053,Truckee,7/3/2017,WF,32053,33.685,-106.99694440000002,98960.0,ACRES
9/12/2017,30654_32007,Tohakum 2,8/29/2017,WF,32007,40.1525,-115.77916670000002,94221.0,ACRES
9/14/2017,159_16043,Highline,7/28/2017,WF,16043,35.725,-106.79166670000001,89366.0,ACRES
7/21/2017,30366_6037,Long Valley,7/11/2017,WF,6037,39.8791667,-106.48305559999999,83733.0,ACRES
8/13/2017,671_6063,Modoc July Complex,7/24/2017,CX,6063,47.268055600000004,-113.48527779999999,83120.0,ACRES
8/8/2017,14474_6061,Detwiler,7/16/2017,WF,6061,46.86592,-114.624,81826.0,ACRES
12/31/2017,6098_6053,Eclipse Complex,8/15/2017,CX,6053,48.85717,-114.8573,78698.0,ACRES
7/26/2017,218_49075,Brianhead,6/17/2017,WF,49075,35.3977778,-83.9083333,71675.0,ACRES
8/30/2017,54_41049,Nena Springs,8/8/2017,WF,41049,45.381717,-116.541867,68007.0,ACRES
10/4/2017,6081_6021,Salmon August Complex,8/13/2017,CX,6021,26.152777800000003,-81.35888890000001,65889.0,ACRES
11/2/2017,2217_30031,Meyers,7/14/2017,WF,30031,39.5227778,-119.6922222,62034.0,ACRES
8/13/2017,671K7YC_6049,Modoc July Complex,7/24/2017,WF,6049,41.50139,-120.555,61730.0,ACRES
3/25/2017,526_40133,Oks - Selman,3/6/2017,WF,40133,32.3516667,-99.07472220000001,60000.0,ACRES
8/11/2017,158_16089,Powerline,8/4/2017,WF,16089,47.896111100000006,-115.30916670000002,55529.0,ACRES
7/12/2017,10155_32039,Dry Gulch,7/4/2017,WF,32039,46.5627778,-113.63416670000001,55328.7,ACRES
12/20/2017,170967_46033,Legion Lake,12/11/2017,WF,46033,43.76194,-103.4482,54023.0,ACRES
10/6/2017,1288_30021,Lolo Peak,7/15/2017,WF,30021,26.22083,-80.97778000000001,53902.0,ACRES
8/16/2017,7092_41037,Cinder Butte,8/2/2017,WF,41037,43.5775,-119.94,52531.0,ACRES
11/1/2017,365_53073,Norse Peak,8/11/2017,WF,53073,48.17,-113.09444440000001,52056.0,ACRES
10/27/2017,10105_6055,Southern Lnu Complex,10/9/2017,WF,6055,38.29611,-122.27528000000001,51624.0,ACRES
8/5/2017,303_16063,Mammoth Cave,8/4/2017,WF,16063,43.06527,-114.3867,49912.0,ACRES
7/11/2017,9755_6093,Garza,7/9/2017,WF,6093,41.94694439999999,-123.34888889999999,48889.0,ACRES
7/17/2017,340_16188,Powerline,7/15/2017,WF,16188,66.63472220000001,-157.15972219999998,48569.0,ACRES
9/4/2017,493_41035,Eagle Creek,9/2/2017,WF,41035,39.8877778,-120.06638889999999,48488.0,ACRES
